B Cell	CD4	CD8	Mono	Neu	NK	DC	M1	M2	MQ
1	0.614410920188909	0.223359267735458	0.355281442574903	0.18693229504361	0.334486263412897	0.0888875070773207	0.209936065726962	-0.537804509381088	-1.42145326737235	-0.0540359850066192
HS3ST1	0.0708690073863557	-0.0159934433975361	-0.019096687537262	-0.0220592669519141	-0.0174210345953435	-0.0188624453963753	-0.0138240203309964	-0.0300811147631149	0.0213251571593706	0.0451438484268148
WNT16	0.00908197417313093	-0.00190535290392576	-0.000631101570017454	-0.00140862181206411	-0.00110282432015449	-0.00116720433481441	0.000869828869350489	-0.00101116647934894	-0.00104608973987124	-0.001679441882285
ICA1	-0.0368608080762819	0.0405431580700519	-0.0477968476029126	0.0319380173013706	0.064656144394806	-0.0140371073409775	-0.0271502507131931	-0.0246695553778829	0.00629909965688434	0.00707814968813461
DBNDD1	0.0246413601398367	0.00733011023049493	-0.0047730155591963	-0.00608797833867322	-0.00598078143744263	-0.00642492164966437	-0.00258101354676395	-0.00220533268716033	-0.00150853483868984	-0.00240989231274112
CD38	0.000443471828075572	-0.00164948852951218	-0.00170654924948446	-0.000141583101294965	-0.000654814348435721	0.00292766002428039	-0.000797188520888359	0.00319224621598776	-0.000914678050070184	-0.000699076268657855
SLC22A16	-0.00685799496421742	-0.0158362153489609	-0.0105352705045243	0.279188696388256	-0.0572453664961188	-0.0211014373215515	-0.106770490660875	-0.0532481802233925	-0.00211739911715902	-0.0054763417514523
MEOX1	-0.0279899018305623	0.157154319452137	-0.0164411318845093	-0.0244957278203583	0.0127134193293113	-0.0301918395474712	-0.00995335592188516	-0.0161759645384007	-0.017066536060318	-0.0275532811779441
PRKAR2B	-0.030511135224276	-0.0229526723897376	-0.00581191053409393	0.0361980023747067	-0.0284440100746951	-0.013150053734248	0.0436449905717592	0.00401313430466033	0.0293074598031797	-0.012293805097255
ABCB4	0.0974068104883325	-0.0281116571388856	-0.0256166957720213	-0.0436458429010171	-0.0194289109162792	-0.0185195499499574	0.0399307392441778	-0.0113023141582715	0.0250732636156155	-0.0157858425116931
GAS7	-0.000403075845661138	-0.00210735970702617	0.000590276196894366	0.00169472325688925	0.000509805202891598	0.000706054095504074	0.000541408398327327	-0.000381288606520179	-0.000633645246953768	-0.000516897744345291
MATK	-0.00297117256000418	-0.00311077408171675	0.00528063675625157	-0.00722405854711692	-0.00494791997517932	0.00917254167816335	-0.000493954795499104	0.00281619553385256	0.00256030678170332	-0.0010818007904544
CD79B	0.00799600573397577	0.00079139617010189	-0.00100131662735584	-0.0022274467645973	-0.00586448193152316	-0.000179722812009888	0.0047540274020117	-0.00348328166558731	-0.00111232424028961	0.00032714473527373
SCN4A	0.0323145628900247	-0.00530408065260003	-0.00562895826040148	-0.00377223982532018	-0.00414142278808324	-0.00137518755422174	-0.000567608293045392	-0.00317937633306975	-0.00356643493345517	-0.00477925424982788
TKTL1	-0.0127488796798128	0.0127395413884425	-0.0110597803284261	-0.00762879384861057	0.000248671539467841	0.0503978433394879	-0.00610568258466698	-0.0087844129927244	-0.00579534872801465	-0.011263158105141
PGLYRP1	-0.00605229566821748	-0.00754312245416586	0.00534311181672454	-0.00351323493938596	0.0370681115981455	-0.00650049625258549	-0.00299249370877291	-0.00534880584726128	-0.00481527223732695	-0.00564550230715552
IL32	-0.00900286666442181	0.00774583905059689	0.00795575435803739	-0.0091161781564011	0.00252498961311773	0.00456699690751056	-0.00523305268720303	0.00286166976012259	-0.0023501169513592	4.69647700002597e-05
GIPR	-0.0513884336226312	0.00396882885368514	0.03862024497438	-0.0766904612707021	-0.0304503282938036	0.0593760156156809	0.108052133375194	-0.0190187726299689	-0.00745493967768417	-0.0250142873241512
SEMA3G	-0.00188563642994469	0.0633843010779802	-0.0292012644895387	-0.0075806234976864	-0.0065478653353283	-0.00287769732999139	-0.00288151440940634	-0.00571692353623493	-0.00216124016960648	-0.00453153588024176
STAB1	-0.00400952944225481	-0.00386817395265466	-0.000522560813545061	0.014301843107295	-0.00528613530820162	-0.00497317352550761	-0.000519280844777913	-0.0027161709913131	0.00398649941000468	0.00360668236095495
CD4	-0.036536679699705	0.0441735708140607	-0.037634883730298	0.0226624597004856	-0.00886545792440311	-0.0280015449831619	0.0214884970875573	0.00493843626530396	0.00733161689406955	0.0104439855760928
MRC2	-0.00142862205969571	0.000127456689943642	0.0012205894584863	-0.00167357925686727	-0.000900834912896551	-0.00126827339019656	0.00163903143222855	0.000986179085123833	0.00103504082575335	0.000263012128120493
CD22	0.0499726628500519	-0.0201328081162515	-0.00703052315693314	-0.0236084805339073	-0.000394273096652163	-0.0165707593144704	0.0237310483611811	-0.00188694272027925	-0.00228749602283105	-0.00179242824990942
SEMA3B	-0.0149949686288808	-0.0223172112752402	-0.0070314648687491	-0.0136516585667585	0.0748608850496933	-0.00924670193432247	0.0129798285018338	0.00399414588414011	-0.00449699058682606	-0.0200958635748919
ACPP	-4.61973445110454e-06	-5.85153709060241e-06	-7.50935876668471e-07	4.72525145790925e-06	5.18262571067599e-06	-4.73583380843352e-06	5.39286909067642e-06	3.06749537624352e-06	-2.69067012017159e-06	2.8046971147534e-07
VSIG2	-0.00841420664312976	-0.00842018162936111	-0.00362974792205776	0.0976468780155445	-0.0197613740413934	-0.0142928337218081	-0.0013071856500564	-0.0117020043881639	-0.00789513174623556	-0.0222242122733375
MARCO	-0.0064475765134281	-0.00619906857234929	-0.00340497886490815	0.0208345241545592	-0.010554006650711	-0.00745877173821219	0.00926165949205384	0.00803047949342415	-0.00429755724586664	0.000235296445437614
ADGRA2	-0.00401374538916704	-0.00321739978317351	-0.00447658653069572	0.0215357213335457	-0.0042442514068608	0.00600622942749629	-0.000384620959425037	-0.00318149428605568	-0.00121720208455299	-0.00680665032111121
KCNG1	0.0328575994273099	-0.00440655784941346	-0.00475594908306471	-0.00137275497887258	-0.00411555791128589	-0.00443787715447191	-0.00930360531630318	-0.00143564584794789	-0.00154175017789522	-0.00148790110805489
SLAMF7	-0.0100750700114686	-0.0276671100288272	0.0209180911426673	-0.00852798335208071	0.00235609643190203	0.0168797163008033	0.0172699967666883	0.0092974655631566	-0.0157530621322299	-0.00469814068061062
ARNTL2	0.000261455094349182	-0.0250171719013668	-0.00604896626913335	0.0181387679852116	-0.0145794373753931	-0.0212688421074065	-0.0014719607992011	0.0635326725014153	0.0179685573753728	-0.03151507450385
ANK1	0.0342973424549534	0.0532481692033752	-0.0183142173736581	-0.00569779240855652	-0.0117865305960008	-0.0234254445405064	-0.00651501448158681	-0.00802748616384157	-0.00425026230572957	-0.00952876378844812
DAPK2	0.00022683928573275	-0.00615037847993155	0.00319579598190557	-0.0017282055204857	0.0110766737623308	0.000633569116385276	-0.000990373545547614	-0.00273749208547043	-0.00133255478677676	-0.00219387372814249
STAP1	0.0576744828107713	0.0148630986187639	-0.0367939900775009	-0.0149466691270992	-0.0125397513112773	0.0142279808864847	0.00408509971596868	-0.00907511887066315	-0.00423996687994331	-0.0132551657655056
MYOM2	0.00211573159045127	0.0137776653735826	-0.0330359201169241	-0.00253908767310298	-0.0116665452465073	0.0635185976876773	-0.00738308363171267	-0.00867120773538621	-0.00773898269829798	-0.00837716754978127
FLT4	-0.0183274191968246	0.0166984504889423	0.0713067949960138	-0.0126547070981705	-0.0155429905333719	-0.0331932642828774	-0.00774147560896346	-0.00222630061878218	0.000397911890061564	0.00128299996397445
MSR1	-2.2207469287879e-07	-1.81272447126629e-07	-1.66380791177784e-07	1.79293064008917e-07	-2.52020542068139e-07	-2.23654940719077e-07	1.78768430281545e-07	2.34198915694794e-07	-3.19037435608676e-08	4.85046747546019e-07
CDH1	-0.0394968932561562	-0.031978204412854	0.0717127789297114	-0.129115246879621	0.0197183033996467	-0.0715240204456642	0.251247735169094	-0.0223264849864737	-0.00831118735293546	-0.0399267801647569
ADAM28	0.0513835670922067	-0.0427183333697678	-0.0179872075461482	-0.00352010071171372	0.00287217907675179	0.0113811300915658	-0.0254614661029968	0.0128938109105397	-0.0480290885280877	0.0591855090876505
FOXP3	-0.00166086235811487	0.147204025820308	-0.052170955899509	-0.0157551065578024	-0.0132136545946749	-0.00690219590753694	-0.0332378129721238	-0.00247424664536208	-0.00565303667958888	-0.0161361542055938
DKK3	-0.0122548659814134	-0.0220523433883406	0.145595876259116	-0.00877806602403999	-0.0180996643210599	-0.0313282569240054	-0.0298221201884064	-0.0113607613673143	-0.00447560854113238	-0.00742418952339951
PTGER3	-9.60400581739738e-05	-2.84771177109994e-05	-0.000478212277010899	-0.000134241912355736	-0.000121124662358548	0.00119381510235849	-0.000361499761576874	-0.000150615749537822	0.000120018959338166	5.63774770282214e-05
TNIP3	-0.0107028084318286	0.00277574973414397	0.140581624654569	0.00903241478674166	-0.00718048715368583	-0.0535750842198153	-0.0264144322333685	-0.00546786978912366	-0.0205994259717496	-0.0284496813758819
KCNH2	0.00302856578374089	0.0123236249089195	-0.00445032578215207	-0.000942448179544145	-0.0021557662758215	-0.00169392079601829	-0.00344377711065856	-0.00111462715355903	-0.00110981114752959	-0.000441514247377084
YBX3	0.00115881334894595	-0.00113379640277876	0.000989202153594508	0.00118046025047091	3.23580042410932e-05	-0.000615431797044222	-0.000820169899929288	-0.000386660120260417	0.000185124360416286	-0.000589899897656041
TIE1	-0.0140819060381266	-0.00641630138381162	-0.0317969197662527	-0.0119663767550598	-0.00236676543923764	0.0513414513180535	-0.00528790030324869	0.0279993508564734	-0.00224674343031732	-0.00517788905847152
FSTL3	-0.00148863312062817	0.0101134849775527	-0.00578101155658943	0.0257688794488658	-0.0063284651535044	0.00329319671178934	-0.0101918436505918	0.00424163116340353	-0.00146106459512422	-0.0181661742251735
ST6GALNAC1	-0.0125268888054584	0.16981963869996	-0.0763770203625341	-0.0140169266125307	-0.00555272240709739	-0.00347650569967583	-0.0324273159778889	-0.0101369920800041	-0.0131582204220532	-0.00214704633271654
SPEG	-0.000829908985435353	0.000931048771094008	0.0037005707750898	-0.000517397640266214	-0.000882224446045361	-0.00156162267687503	-0.000877615680413975	-0.000166406427558076	5.03031183661092e-05	0.000153253192044096
IGF2BP2	-0.000960005591862295	-0.000893804378434352	-0.00146744341308026	0.0039860747424744	-0.00149120818160444	0.00115977842933755	-0.00146018773111007	0.00206932646681892	0.00219255240999233	-0.00313508275253176
SEMA3C	-0.0018278636809655	-0.00138689318026747	-0.00237337826763274	0.00342497387640717	0.00328453963014423	0.000278176240234073	-0.00200716973023127	0.00358968568274286	0.00327014120523617	-0.00625221177566751
TIMM21	0.00431105296480059	0.00384701411568866	0.00462012266930857	0.0031899481871821	-0.0108579627176104	0.00263570896998447	-0.0114530947838115	-0.0154315150517182	0.00389596064917209	0.0152427649970039
