Th1	Th2	Th17	Th0	iTreg
1	0.675309477961548	0.533340135630918	-1.28749303102842	0.606664206641326	-0.527820789205377
GAB2	-0.0300170285770506	0.0969078835858039	0.00689072805834077	-0.0488516293918461	-0.0249299536752478
LIMA1	-0.0188802224645362	0.0249260115224177	0.00228203214461914	-0.00527991571077813	-0.00304790549172248
CREB3L3	-0.0389874799885864	0.00846690428871035	0.00364080086855206	-0.0385349005978701	0.0654146754291941
EVI5	-0.02926501424663	0.00780362340037269	-0.0130458335029653	-0.0615935499591361	0.0961007743083587
ALPK1	0.101797148327991	-0.0729189008164098	0.00149660105981667	-0.0157102042917969	-0.0146646442796013
TBX21	0.0716399573137159	-0.0309255748493509	-0.0381654942863476	-0.00450762487043749	0.00195873669242013
ADD2	-0.032799867882654	-0.0429583238513169	0.0774745529598617	-0.0118649466718087	0.0101485854459181
IL12RB2	0.0347629292099299	-0.0212090873906711	0.00144741254328683	0.00193729202130075	-0.0169385463838464
ADA2	-0.0043696548246374	0.000170368279738993	-0.00487542784785424	0.021813104974901	-0.0127383905821484
CCL22	-0.0280897757929869	0.0505500485427089	-0.0240978907902871	-0.0568790213448177	0.0585166393853827
HOMER2	-0.0846961475787894	0.26793670946166	-0.00756512662979603	-0.0948546850578474	-0.0808207501952277
NCS1	-0.0336430646606673	-0.000266136656227262	0.0377020967463931	-0.0408553634242259	0.0370624679947273
IFNG	0.0711949643918987	-0.0321925464366751	-0.0214327473044095	-0.00123992743063702	-0.0163297432201771
IL18RAP	0.054573583841064	-0.0379216087013244	-0.00902889427343066	-0.0183252465035932	0.0107021656372843
SGK1	0.000696468052102857	-0.000281795243941129	0.000265825646889979	-0.00025242583780685	-0.000428072617244861
PMEPA1	-0.0141032220987724	-0.0119708635175036	0.0116076592508323	-0.00436708706460779	0.0188335134300515
STRIP2	0.00422265021575109	-0.00684377864016726	0.0119753697371257	-0.0126903125345358	0.00333607122182631
AKAP12	-0.0154171876833298	0.0342730353917066	0.000344324272458233	-0.0120135573017037	-0.00718661467913132
NAPSA	-0.0113670640833433	-0.0269518332112529	0.0133554328522462	-0.0577912700499692	0.0827547344923193
JCHAIN	-0.0102992942405451	-0.00156237932502749	0.020311168021707	0.00482611336992689	-0.0132756078260613
CTSL	-0.0301436172784712	-0.0183837047496486	0.0244608154287088	-0.0131846023383963	0.0372511089378075
FOXP4	0.0543202919424493	-0.0210022396215987	-0.00919044141187632	-0.0338379846214267	0.00971037371245244
FGFBP2	-0.000562167829507102	-0.000827512674121496	-0.000489361025292987	0.00261111337952512	-0.000732071850603535
FNBP1L	-0.0109328908934701	-0.00240773946158105	0.00966693848696645	-0.00748699897556631	0.011160690843651
DUSP6	-0.0243274515836958	0.0439034371396532	-0.00244859180094509	-0.0140133317534252	-0.00311406200158712
