"Genes" "ID" "B1_D" "B1_H" "B1_L" "B10_L" "B11_L" "B12_L" "B13_L" "B14_L" "B15_L" "B16_L" "B17_L" "B18_L" "B2_D" "B3_D" "CD4_1_D" "CD4_1_L" "CD4_1_Z" "CD4_10_L" "CD4_11_L" "CD4_12_L" "CD4_13_L" "CD4_14_L" "CD4_15_L" "CD4_16_L" "CD4_17_L" "CD4_18_L" "CD4_2_D" "CD4_2_Z" "CD4_3_D" "CD8_1_D" "CD8_1_L" "CD8_1_Z" "CD8_10_L" "CD8_11_L" "CD8_12_L" "CD8_13_L" "CD8_14_L" "CD8_15_L" "CD8_16_L" "CD8_17_L" "CD8_18_L" "CD8_2_D" "CD8_2_Z" "CD8_3_D" "CD8_3_Z" "D1_H" "D1_P" "D2_H" "D2_P" "D3_H" "D4_H" "D5_H" "D6_H" "M1_1_B" "M1_1_X" "M1_2_B" "M1_2_X" "M2_1_B" "M2_1_X" "M2_2_B" "M2_2_X" "Mo1_D" "Mo1_H" "Mo1_L" "Mo1_P" "Mo10_L" "Mo11_L" "Mo12_L" "Mo13_L" "Mo14_L" "Mo15_L" "Mo16_L" "Mo17_L" "Mo18_L" "Mo2_D" "Mo2_P" "Mo3_D" "MQ1_X" "MQ1_Z" "MQ2_X" "MQ2_Z" "MQ3_Z" "Ne1_H" "Ne1_L" "Ne10_L" "Ne11_L" "Ne12_L" "Ne13_L" "Ne14_L" "Ne15_L" "Ne16_L" "Ne17_L" "Ne18_L" "Nk1_D" "Nk1_H" "Nk1_L" "NK1_Z" "Nk10_L" "Nk11_L" "Nk12_L" "Nk13_L" "Nk14_L" "Nk2_D" "Nk2_L" "Nk3_D" "Nk3_L" "Nk4_L" "Nk5_L"
"ABCB4" "ENSG00000005471" "ABCB4" 33 54 49 52 34 48 50 67 45 46 53 58 28 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 4 10 2 2 4 4 1 0 1 0 1 8 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"AC002511.2" "ENSG00000233214" "AC002511.2" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 1 0 0 1 0 1 0 0 0 1 0 NA 0 NA NA NA NA NA NA 23 7 9 6 12 23 13 8 13 9 7 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"AC006486.1" "ENSG00000268643" "AC006486.1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA 2 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 6 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 14 NA 19 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13 NA NA NA NA NA NA NA NA NA NA NA
"AC008074.1" "ENSG00000223935" "AC008074.1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA 52 6 6 8 14 20 21 4 9 9 6 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"AC011511.5" "ENSG00000267607" "AC011511.5" NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 48 0 47 0 48 46 47 48 NA NA NA NA NA NA NA NA NA 2 NA 0 NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"AC068050.1" "ENSG00000213557" "AC068050.1" NA 0 0 0 0 2 0 0 2 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA 12 9 11 0 3 9 6 11 8 8 10 11 NA 20 NA NA NA NA NA NA 0 0 0 1 0 1 0 1 1 1 1 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"AC099552.2" "ENSG00000225612" "AC099552.2" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 46 0 45 0 46 86 45 46 NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA 0 0 1 1 1 1 1 1 1 1 1 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"AC104809.1" "ENSG00000223991" "AC104809.1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 12 0 6 0 6 12 12 7 NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA NA NA NA NA 0 0 1 1 1 1 1 1 1 1 1 NA 0 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"AC120057.1" "ENSG00000213876" "AC120057.1" NA 0 0 0 0 0 0 0 0 0 0 0 NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 12 0 6 0 12 6 11 6 NA NA NA NA NA NA NA NA NA 88 9 8 6 10 10 10 7 10 7 9 7 NA 8 NA NA NA NA NA NA 0 3 0 1 0 1 0 1 1 1 1 NA 2 0 NA 0 0 0 0 0 NA 0 NA 0 0 0
"ADAMTS1" "ENSG00000154734" "ADAMTS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 10 1 0 0 0 0 1 0 0 0 0 0 0 2 4 6 0 1 3 3 1 1 1 0 0 0 0 0 1 0 NA 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 NA 0 0 1 0 0 0 1 0 0 3 0 0 0 0 0 0 0 45 60 28 22 38 28 9 27 3 35 11 36 33 34 24
