"Genes" "ID" "iTreg10_R" "iTreg13_R" "iTreg14_R" "iTreg15_R" "iTreg3_R" "iTreg4_R" "iTreg5_R" "iTreg8_R" "iTreg9_R" "Th0_10_R" "Th0_13_R" "Th0_14_R" "Th0_15_R" "Th0_3_R" "Th0_4_R" "Th0_5_R" "Th0_8_R" "Th0_9_R" "Th1_1_K" "Th1_1_S" "Th1_2_K" "Th1_2_S" "Th1_3_S" "Th17_1_S" "Th17_2_S" "Th17_3_S" "Th2_1_K" "Th2_1_S" "Th2_2_K" "Th2_2_S" "Th2_3_S"
"AC004585.1" "ENSG00000266088" "AC004585.1" 0 3 2 2 3 5 1 3 1 20 19 32 4 12 31 40 5 17 NA 4 NA 8 5 5 8 5 NA 1 NA 2 1
"AC019205.3" "ENSG00000235174" "AC019205.3" 496 370 370 338 444 714 370 370 444 841 311 268 548 370 548 714 405 714 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"AC034199.1" "ENSG00000250274" "AC034199.1" 2 5 4 2 11 6 7 6 3 0 0 0 0 2 1 0 2 0 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"AC099336.2" "ENSG00000236439" "AC099336.2" 15 9 10 15 8 10 5 10 11 25 7 9 39 13 18 28 15 12 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"AC103563.7" "ENSG00000233850" "AC103563.7" 2 3 4 0 1 4 2 4 3 4 6 7 12 4 7 5 4 5 NA 0 NA 0 0 0 0 0 NA 1 NA 1 1
"AC139720.1" "ENSG00000249806" "AC139720.1" 8 5 4 2 11 8 10 7 6 14 5 7 11 11 15 11 8 12 NA 0 NA 0 0 1 0 0 NA 0 NA 0 0
"ADA2" "ENSG00000093072" "ADA2" 4 1 0 0 3 2 1 2 2 55 24 47 26 12 19 47 14 28 1 4 2 10 2 1 9 0 2 3 2 12 2
"ADD2" "ENSG00000075340" "ADD2" 3 5 4 4 4 5 4 6 4 1 3 1 1 3 3 1 4 2 1 3 1 1 2 35 9 50 1 1 1 0 2
"AKAP12" "ENSG00000131016" "AKAP12" 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 3 0 1 0 1 2 0 3 93 5 93 3 10
"AL121914.1" "ENSG00000228601" "AL121914.1" 9 7 5 4 1 6 5 3 5 16 12 21 29 5 7 15 5 6 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"ALPK1" "ENSG00000073331" "ALPK1" 2 1 1 1 2 1 1 2 2 2 3 3 0 2 3 2 2 3 6 5 6 26 7 2 4 2 0 1 0 1 1
"ATP1B1" "ENSG00000143153" "ATP1B1" 16 35 29 35 12 33 16 12 18 1 1 1 1 1 1 1 1 1 0 2 0 1 1 2 2 2 0 2 0 1 2
"CCL22" "ENSG00000102962" "CCL22" 14 15 11 12 14 16 4 22 17 2 1 2 0 0 1 2 1 1 0 5 0 2 4 2 2 1 3 29 3 5 25
"CCR9" "ENSG00000173585" "CCR9" 55 4 6 9 2 6 9 8 33 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CEBPD" "ENSG00000221869" "CEBPD" 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 8 0 6 5 9 3 6 0 1 0 0 0
"COL6A3" "ENSG00000163359" "COL6A3" 1 2 1 0 4 2 5 1 1 0 0 0 0 0 0 0 0 0 11 3 0 0 2 95 45 169 1 1 0 1 1
"CREB3L3" "ENSG00000060566" "CREB3L3" 16 10 18 25 2 8 7 6 17 0 1 1 0 0 0 1 0 0 0 0 0 0 0 2 2 1 1 2 1 1 1
"CTSL" "ENSG00000135047" "CTSL" 225 26 45 30 57 76 134 83 152 5 2 2 11 3 1 2 8 4 0 1 0 0 1 24 108 23 0 2 0 1 1
"DUSP6" "ENSG00000139318" "DUSP6" 1 6 5 2 4 8 6 5 3 5 2 1 1 6 6 2 3 3 4 4 1 2 4 5 2 6 20 35 19 20 40
"EVI5" "ENSG00000067208" "EVI5" 6 50 29 36 20 35 19 20 13 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1 2 2 2 1 2
"FBLN5" "ENSG00000140092" "FBLN5" 2 1 1 1 1 1 1 1 1 5 4 5 1 2 5 5 2 4 0 1 0 1 0 3 2 2 0 3 0 1 2
"FGFBP2" "ENSG00000137441" "FGFBP2" 16 1 3 1 0 1 1 0 9 77 50 91 10 6 19 60 6 41 0 2 0 5 1 0 2 0 0 1 0 1 0
"FHIT" "ENSG00000189283" "FHIT" 2 1 1 1 1 2 1 1 3 8 3 5 18 4 6 5 4 5 0 0 0 1 0 1 1 0 0 0 0 1 0
"FNBP1L" "ENSG00000137942" "FNBP1L" 2 5 3 4 8 5 5 3 2 1 1 1 0 0 1 1 0 0 0 1 0 0 0 5 2 6 0 1 0 1 1
"FOXP4" "ENSG00000137166" "FOXP4" 1 5 3 6 3 4 3 3 3 1 2 2 1 2 2 1 1 1 20 9 19 8 3 5 2 2 3 3 3 2 1
"FUT7" "ENSG00000180549" "FUT7" 0 0 0 0 0 0 0 0 0 5 12 7 1 11 13 9 7 9 12 8 12 8 8 45 13 36 0 3 0 1 2
"GAB2" "ENSG00000033327" "GAB2" 1 1 1 2 0 1 1 0 1 0 1 0 1 0 1 0 0 0 6 1 2 1 1 2 4 3 14 12 13 14 15
"GLT1D1" "ENSG00000151948" "GLT1D1" 9 7 10 12 6 9 8 5 8 1 0 1 0 0 0 1 0 0 0 1 0 1 0 3 3 2 0 1 0 0 0
"GPR157" "ENSG00000180758" "GPR157" 18 7 9 10 6 9 8 9 13 1 1 2 1 0 1 1 1 1 0 2 0 1 2 16 29 23 0 2 0 2 2
"GPR183" "ENSG00000169508" "GPR183" 136 81 89 64 77 36 96 164 112 124 73 84 443 34 37 74 39 91 0 3 0 2 3 55 5 33 54 28 53 12 16
"GRB7" "ENSG00000141738" "GRB7" 7 5 5 5 6 8 6 6 6 1 1 1 0 1 2 1 1 2 0 0 0 0 0 1 0 1 0 0 0 0 0
"HOMER2" "ENSG00000103942" "HOMER2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 7 15 7 17 23
"IFNG" "ENSG00000111537" "IFNG" 1 3 2 2 2 1 2 4 0 2 14 8 0 10 5 2 6 7 1 743 0 124 332 2 1 1 0 5 0 1 3
"IGHG1" "ENSG00000211896" "IGHG1" 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 NA 5 NA 7 5 40 174 39 NA 10 NA 9 8
"IL12RB2" "ENSG00000081985" "IL12RB2" 2 2 2 2 8 5 4 5 2 10 26 22 0 17 22 10 16 12 74 50 72 46 44 17 8 20 2 9 2 2 12
"IL13" "ENSG00000169194" "IL13" 0 1 1 0 2 1 1 1 0 1 3 1 0 11 10 3 6 5 0 1 0 0 0 0 0 0 4 7 4 1 8
"IL18RAP" "ENSG00000115607" "IL18RAP" 4 1 1 1 5 7 6 7 5 1 3 2 0 4 6 2 3 4 3 12 3 34 11 3 3 2 0 3 0 1 2
"ILK" "ENSG00000166333" "ILK" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 11 6 11 6 5 4 5 5 11 5 11 6 5
"INAVA" "ENSG00000163362" "INAVA" 6 5 7 6 5 7 11 4 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 27 10 0 1 0 0 1
"ITPRIPL2" "ENSG00000205730" "ITPRIPL2" 1 3 1 2 4 2 2 3 1 0 0 0 0 1 0 0 0 0 2 3 2 3 4 1 1 2 29 5 29 4 10
"JCHAIN" "ENSG00000132465" "JCHAIN" 0 0 0 0 1 0 0 0 0 1 1 1 29 1 0 0 1 0 0 1 0 1 1 10 208 5 0 2 0 2 1
"KBTBD11" "ENSG00000176595" "KBTBD11" 3 1 1 0 2 2 2 3 2 3 2 2 8 3 2 2 4 3 12 7 5 7 9 28 11 47 5 1 5 0 1
"KRTCAP2" "ENSG00000163463" "KRTCAP2" 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 11 5 4 6 3 5 5 3 4 6 4 6 3
"LIMA1" "ENSG00000050405" "LIMA1" 12 11 10 8 14 14 14 11 11 10 14 12 2 15 13 13 11 10 2 13 2 6 14 21 16 21 70 97 69 60 152
"LINC00239" "ENSG00000258512" "LINC00239" 10 3 5 2 8 5 6 4 6 6 6 5 5 7 7 7 4 6 NA 1 NA 0 0 3 4 3 NA 0 NA 0 0
"LINC01871" "ENSG00000235576" "LINC01871" 1 2 2 4 5 5 6 3 3 90 159 164 5 170 170 159 57 97 NA 3 NA 8 3 0 0 0 NA 8 NA 5 4
"LY96" "ENSG00000154589" "LY96" 9 11 8 9 14 15 8 12 11 28 22 26 12 29 41 30 19 30 0 0 0 1 0 2 1 2 0 0 0 0 0
"MIAT" "ENSG00000225783" "MIAT" 2 1 1 3 1 2 1 1 1 0 0 1 0 0 1 1 0 0 174 16 29 155 19 399 1348 399 2 6 1 20 9
"MTATP8P1" "ENSG00000240409" "MTATP8P1" 841 405 443 339 952 951 841 544 496 627 952 496 310 615 951 1026 311 368 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"MTCO2P12" "ENSG00000229344" "MTCO2P12" 2447 2447 2447 2447 2447 4280 4280 2447 4280 4280 4280 4280 4280 2447 4280 4280 2447 4280 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"MTND1P23" "ENSG00000225972" "MTND1P23" 1348 436 436 483 1348 946 1348 1348 1348 1348 1348 1348 946 946 1348 1348 810 1348 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"MTND2P28" "ENSG00000225630" "MTND2P28" 4280 1470 1026 1026 2902 1356 4280 1470 1470 1470 1470 1470 1470 1470 1470 2902 1470 1470 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"MTND6P4" "ENSG00000249119" "MTND6P4" 78 56 48 55 47 76 53 42 79 21 36 29 39 19 38 35 14 25 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"NAPSA" "ENSG00000131400" "NAPSA" 35 55 45 31 64 48 43 63 43 1 1 0 0 0 0 0 1 0 0 3 0 2 3 10 2 10 0 1 0 1 1
"NCS1" "ENSG00000107130" "NCS1" 7 11 12 14 9 12 14 9 7 0 1 1 0 1 1 0 1 0 0 3 0 0 3 26 3 34 3 3 3 1 3
"NOG" "ENSG00000183691" "NOG" 3 5 6 3 1 2 1 5 3 5 6 5 57 3 7 5 3 6 0 0 0 0 0 2 3 1 0 0 0 0 0
"NPM1P24" "ENSG00000215086" "NPM1P24" 2 0 1 2 3 1 2 4 1 9 6 7 3 4 3 8 5 5 NA 0 NA 0 0 0 0 0 NA 0 NA 0 0
"PDE7B" "ENSG00000171408" "PDE7B" 1 0 0 0 0 0 0 0 1 6 2 6 0 0 1 4 1 2 0 0 0 1 0 0 0 0 11 1 11 5 2
"PIK3AP1" "ENSG00000155629" "PIK3AP1" 1 0 1 0 1 0 1 1 1 2 2 2 1 1 2 1 1 2 0 7 0 6 10 21 8 40 1 2 1 2 2
"PMEPA1" "ENSG00000124225" "PMEPA1" 15 12 12 14 7 16 13 8 14 1 1 1 12 0 1 1 1 1 0 0 0 0 0 7 6 8 0 0 0 0 0
"RNF157" "ENSG00000141576" "RNF157" 2 2 2 1 2 2 2 3 2 6 10 11 15 9 11 5 10 9 21 27 9 57 18 2 1 1 9 7 9 5 6
"SGK1" "ENSG00000118515" "SGK1" 0 1 0 1 1 1 1 1 0 3 0 0 2 2 1 1 3 2 8 9 8 10 11 11 2 13 8 1 8 1 1
"SIGLEC12" "ENSG00000254521" "SIGLEC12" 0 6 6 4 5 5 3 3 1 0 1 0 0 3 3 0 2 0 0 0 0 0 0 0 0 0 6 3 2 1 2
"STRIP2" "ENSG00000128578" "STRIP2" 5 15 12 8 18 19 13 12 6 1 1 1 0 3 3 1 1 1 41 9 40 6 9 91 66 149 3 6 1 3 6
"TBX21" "ENSG00000073861" "TBX21" 3 10 4 6 8 4 4 13 4 4 8 8 2 11 9 4 11 7 33 25 32 22 29 2 1 2 1 7 1 3 7
"TMEM229B" "ENSG00000198133" "TMEM229B" 0 0 0 0 1 0 1 1 0 5 2 2 5 4 4 3 7 6 0 1 0 2 1 0 1 0 1 2 1 2 1
