Genes	ID	Th1_3_K	Th2_3_K	Th1_4_S	Th2_4_S	Th17_4_S	Th0_1_R	Th0_2_R	Th0_6_R	Th0_7_R	Th0_11_R	Th0_12_R	iTreg1_R	iTreg2_R	iTreg6_R	iTreg7_R	iTreg11_R	iTreg12_R
2	ENSG00000000419	DPM1	2	2	5	5	4	87	69	69	79	68	60	83	65	74	65	69	75
3	ENSG00000000457	SCYL3	2	2	9	8	7	3	2	4	3	2	3	3	2	3	2	2	1
4	ENSG00000000460	C1orf112	2	2	5	7	3	1	3	0	2	3	2	1	4	1	3	2	3
8	ENSG00000001084	GCLC	1	1	4	6	9	4	2	4	2	3	1	3	2	3	3	3	3
9	ENSG00000001167	NFYA	14	14	7	6	7	12	15	14	14	13	13	11	11	12	11	11	11
11	ENSG00000001461	NIPAL3	6	5	25	22	30	6	5	10	6	6	9	6	7	9	8	9	7
12	ENSG00000001497	LAS1L	6	5	9	13	9	16	13	13	14	15	10	16	17	17	16	16	15
13	ENSG00000001561	ENPP4	1	1	4	3	5	8	3	10	6	6	3	5	6	8	7	8	5
16	ENSG00000001629	ANKIB1	6	5	23	22	30	8	8	10	7	8	14	8	8	9	9	9	8
17	ENSG00000001630	CYP51A1	6	14	1	1	0	0	1	0	3	2	1	0	0	0	0	1	0
18	ENSG00000001631	KRIT1	6	2	12	12	13	4	5	4	4	4	5	4	5	4	5	5	3
21	ENSG00000002330	BAD	1	1	4	5	5	0	3	1	4	4	3	1	1	1	1	4	4
22	ENSG00000002549	LAP3	14	5	21	16	11	24	40	23	35	64	159	29	62	31	56	37	64
23	ENSG00000002586	CD99	NA	NA	17	19	17	30	29	20	22	22	40	22	16	22	14	28	19
27	ENSG00000002822	MAD1L1	2	2	12	11	11	4	6	5	7	6	5	4	4	4	4	4	3
28	ENSG00000002834	LASP1	31	68	117	99	110	36	29	42	31	33	37	35	48	40	49	41	43
29	ENSG00000002919	SNX11	2	2	7	9	7	15	9	18	15	12	11	12	10	13	12	12	10
31	ENSG00000003056	M6PR	14	31	24	28	16	29	37	41	40	31	27	35	42	43	47	39	40
37	ENSG00000003400	CASP10	1	1	9	6	5	2	4	3	3	5	8	2	4	3	4	1	3
38	ENSG00000003402	CFLAR	31	31	281	62	256	9	4	10	4	4	7	10	8	13	7	12	7
41	ENSG00000003756	RBM5	14	14	52	55	66	3	5	4	3	3	3	3	2	4	3	3	3
44	ENSG00000004059	ARF5	14	14	21	22	23	48	39	41	48	40	37	38	40	37	39	39	46
46	ENSG00000004142	POLDIP2	14	14	13	17	14	57	46	51	56	57	39	58	53	57	57	65	65
48	ENSG00000004455	AK2	31	14	38	40	26	52	44	44	48	53	50	54	48	51	54	61	54
49	ENSG00000004468	CD38	6	2	82	50	25	1	4	2	4	5	18	3	5	4	8	3	4
50	ENSG00000004478	FKBP4	14	14	18	21	18	100	58	84	56	57	33	122	76	116	89	133	72
51	ENSG00000004487	KDM1A	6	14	13	17	21	14	20	16	17	20	16	19	21	21	19	26	24
52	ENSG00000004534	RBM6	14	14	37	32	34	8	10	9	5	6	5	10	10	12	9	9	6
54	ENSG00000004700	RECQL	31	31	34	38	37	35	75	38	58	70	76	30	84	30	65	32	68
55	ENSG00000004766	VPS50	1	1	6	6	7	4	3	5	4	3	3	4	5	4	4	4	3
57	ENSG00000004777	ARHGAP33	14	14	7	9	4	0	2	0	0	1	0	0	1	0	0	0	0
58	ENSG00000004779	NDUFAB1	2	2	7	11	9	74	64	55	81	77	49	73	54	69	60	92	70
66	ENSG00000004897	CDC27	14	14	30	34	26	14	17	17	17	22	21	12	20	17	22	16	23
68	ENSG00000004961	HCCS	1	1	1	1	1	13	10	13	13	11	8	16	13	13	12	16	13
69	ENSG00000004975	DVL2	14	14	14	16	12	9	13	10	11	12	10	10	11	11	9	11	9
71	ENSG00000005007	UPF1	31	31	39	57	49	11	18	13	12	17	13	14	14	17	16	18	14
72	ENSG00000005020	SKAP2	1	1	2	3	2	1	1	2	2	2	4	1	2	2	3	2	3
73	ENSG00000005022	SLC25A5	69	68	78	110	58	496	496	281	355	590	355	281	543	281	543	327	543
74	ENSG00000005059	MCUB	2	2	22	18	21	32	35	29	44	34	33	37	38	25	31	28	38
76	ENSG00000005075	POLR2J	1	1	6	6	5	44	49	48	60	34	31	49	42	44	45	35	40
77	ENSG00000005100	DHX33	6	5	5	4	3	7	10	5	8	10	7	8	9	7	10	11	10
78	ENSG00000005102	MEOX1	0	0	0	2	0	3	3	4	3	2	4	2	2	1	2	1	0
80	ENSG00000005156	LIG3	2	2	12	14	11	6	5	6	5	6	5	6	6	7	7	8	5
81	ENSG00000005175	RPAP3	6	5	6	6	4	42	44	42	33	47	42	52	43	57	46	71	56
84	ENSG00000005194	CIAPIN1	2	2	6	8	8	21	18	20	22	19	12	24	20	25	21	25	20
85	ENSG00000005206	SPPL2B	6	5	15	17	30	1	3	2	2	3	2	2	2	2	2	2	2
86	ENSG00000005238	FAM214B	NA	NA	7	5	6	1	0	1	1	1	2	1	2	1	2	1	2
89	ENSG00000005302	MSL3	6	5	14	14	33	15	8	14	10	8	9	15	7	17	7	12	7
90	ENSG00000005339	CREBBP	14	14	21	17	16	2	6	5	3	4	5	4	4	6	4	5	3
91	ENSG00000005379	TSPOAP1	1	1	65	52	91	0	0	0	0	0	0	0	0	0	0	0	0
95	ENSG00000005448	WDR54	2	2	5	6	6	9	8	8	11	9	17	10	14	8	11	9	14
98	ENSG00000005483	KMT2E	14	14	44	33	34	11	17	18	9	12	22	12	14	19	14	12	11
99	ENSG00000005486	RHBDD2	2	5	4	7	3	13	15	19	15	12	14	18	16	20	14	16	15
101	ENSG00000005700	IBTK	14	5	29	38	25	12	8	12	10	9	9	11	10	11	11	12	9
102	ENSG00000005801	ZNF195	1	1	5	8	6	4	4	4	3	3	3	4	4	4	4	4	3
103	ENSG00000005810	MYCBP2	69	68	254	278	254	3	11	6	5	7	12	6	9	9	8	8	5
104	ENSG00000005812	FBXL3	6	5	10	11	17	31	18	38	31	19	20	26	24	28	29	21	23
105	ENSG00000005844	ITGAL	69	68	448	396	205	29	53	58	38	50	59	23	31	29	38	22	24
108	ENSG00000005889	ZFX	6	5	31	31	31	3	3	8	4	3	3	3	4	6	6	3	3
109	ENSG00000005893	LAMP2	14	5	23	17	29	23	16	23	18	16	18	22	29	20	22	21	23
112	ENSG00000006007	GDE1	1	2	4	6	8	6	4	5	5	7	4	6	6	6	6	10	8
113	ENSG00000006015	C19orf60	6	5	6	8	6	7	8	4	11	10	7	4	5	5	4	12	9
115	ENSG00000006025	OSBPL7	2	2	12	12	12	0	0	1	1	1	0	1	1	1	1	0	1
118	ENSG00000006062	MAP3K14	6	14	15	12	18	4	8	6	4	5	6	5	4	7	4	9	3
122	ENSG00000006125	AP2B1	31	31	49	49	65	41	36	54	36	40	47	39	53	46	52	49	45
124	ENSG00000006194	ZNF263	6	6	10	11	10	4	4	4	4	5	4	5	4	5	4	5	3
126	ENSG00000006282	SPATA20	1	1	3	4	7	3	6	2	3	5	5	3	6	2	3	3	5
128	ENSG00000006327	TNFRSF12A	0	0	1	0	1	1	0	0	1	1	2	10	10	5	7	12	11
130	ENSG00000006432	MAP3K9	0	0	4	5	6	1	0	1	1	1	0	1	1	1	1	1	1
131	ENSG00000006451	RALA	6	6	6	4	6	40	25	42	32	26	29	32	30	35	36	33	31
133	ENSG00000006459	KDM7A	14	14	14	12	29	7	1	9	2	1	4	8	1	7	2	2	1
135	ENSG00000006530	AGK	6	2	26	15	6	7	8	6	10	9	6	6	6	7	7	7	5
138	ENSG00000006576	PHTF2	1	2	7	10	4	2	3	2	3	5	3	1	4	1	4	2	4
140	ENSG00000006607	FARP2	0	0	5	7	9	1	1	1	1	3	1	2	2	2	3	2	3
142	ENSG00000006625	GGCT	6	6	3	5	2	38	43	29	46	43	36	38	31	30	32	33	36
143	ENSG00000006634	DBF4	6	6	12	13	8	13	29	11	25	31	28	13	28	12	27	13	29
145	ENSG00000006652	IFRD1	6	6	5	4	5	4	4	3	3	4	3	8	2	7	3	9	2
147	ENSG00000006695	COX10	1	1	2	1	1	4	5	4	5	6	6	4	4	4	4	7	4
149	ENSG00000006712	PAF1	6	6	16	13	13	36	29	33	29	26	29	36	30	39	33	34	28
150	ENSG00000006715	VPS41	6	6	10	11	12	4	5	4	4	5	4	5	7	4	6	5	4
152	ENSG00000006744	ELAC2	14	14	18	22	19	17	18	17	18	21	14	17	19	19	19	21	19
157	ENSG00000006831	ADIPOR2	6	14	10	13	11	18	23	20	22	22	18	19	20	21	19	18	18
160	ENSG00000007038	PRSS21	1	1	0	0	0	8	5	4	6	1	0	8	7	5	6	1	1
161	ENSG00000007047	MARK4	2	1	4	3	4	2	2	2	2	2	2	2	2	3	2	3	3
163	ENSG00000007080	CCDC124	6	6	5	6	4	14	42	24	41	38	26	27	18	28	22	57	43
164	ENSG00000007129	CEACAM21	0	0	2	1	1	6	4	6	6	4	4	6	5	7	5	3	3
165	ENSG00000007168	PAFAH1B1	14	31	35	40	44	18	15	19	15	14	13	18	19	19	18	20	16
168	ENSG00000007202	KIAA0100	31	31	55	71	58	19	18	20	21	26	20	17	22	19	23	23	25
171	ENSG00000007255	TRAPPC6A	2	1	4	5	5	7	26	20	40	20	29	14	16	13	13	10	12
172	ENSG00000007264	MATK	2	6	2	2	1	7	9	4	10	10	5	11	7	9	7	19	9
173	ENSG00000007312	CD79B	1	1	12	6	5	23	9	26	15	14	14	14	14	12	13	8	10
178	ENSG00000007376	RPUSD1	2	6	7	9	7	7	18	12	20	22	11	13	11	12	14	19	18
180	ENSG00000007392	LUC7L	2	2	12	14	14	6	7	6	6	7	2	6	6	7	7	8	6
183	ENSG00000007520	TSR3	6	6	9	10	7	19	37	31	41	45	27	36	33	30	31	42	41
184	ENSG00000007541	PIGQ	6	6	7	10	12	1	3	4	4	5	2	3	4	3	4	4	5
185	ENSG00000007545	CRAMP1	6	6	5	5	5	1	1	1	1	1	0	1	2	1	1	1	1
188	ENSG00000007923	DNAJC11	6	6	5	6	6	8	9	8	9	10	6	10	10	11	11	11	8
191	ENSG00000007968	E2F2	6	6	32	29	22	1	11	0	6	12	8	1	10	1	10	1	10
192	ENSG00000008018	PSMB1	14	14	15	25	19	165	122	197	172	165	133	205	181	197	155	243	205
194	ENSG00000008083	JARID2	14	14	27	29	25	3	4	5	3	4	6	3	2	5	4	5	3
198	ENSG00000008130	NADK	6	6	18	18	19	8	11	10	12	12	8	10	10	11	10	13	13
