Genes	ID	Th1_1_K	Th1_2_K	Th2_1_K	Th2_2_K	Th1_1_S	Th1_2_S	Th1_3_S	Th2_1_S	Th2_2_S	Th2_3_S	Th17_1_S	Th17_2_S	Th17_3_S	Th0_3_R	Th0_4_R	Th0_5_R	Th0_8_R	Th0_9_R	Th0_10_R	Th0_13_R	Th0_14_R	Th0_15_R	iTreg3_R	iTreg4_R	iTreg5_R	iTreg8_R	iTreg9_R	iTreg10_R	iTreg13_R	iTreg14_R	iTreg15_R
2	ENSG00000000419	DPM1	2	2	2	2	12	8	11	14	9	8	12	6	8	69	55	49	61	57	52	55	44	87	75	56	74	62	45	41	47	46	35
3	ENSG00000000457	SCYL3	2	2	1	2	4	6	5	3	5	5	4	4	5	3	3	4	3	3	4	2	3	2	3	3	3	2	2	3	1	1	2
4	ENSG00000000460	C1orf112	1	2	2	2	5	3	7	5	4	6	4	2	5	4	3	2	3	2	1	2	0	0	4	3	3	3	2	0	2	3	1
8	ENSG00000001084	GCLC	1	1	1	1	6	5	5	6	7	6	11	11	12	2	2	3	2	2	3	2	2	4	2	2	3	2	2	3	1	1	2
9	ENSG00000001167	NFYA	14	13	13	13	9	11	5	8	9	6	9	12	6	14	12	12	12	12	12	12	12	17	11	13	10	11	11	11	15	18	23
11	ENSG00000001461	NIPAL3	6	6	6	6	10	19	12	8	14	11	11	21	14	7	11	12	8	12	14	11	15	11	7	14	7	9	16	13	14	12	17
12	ENSG00000001497	LAS1L	6	6	6	6	16	10	14	16	12	16	15	9	14	13	9	8	14	9	8	8	6	11	14	9	12	14	8	9	10	9	7
13	ENSG00000001561	ENPP4	1	1	1	1	5	5	5	3	3	3	5	5	5	4	3	4	4	5	6	3	4	5	5	6	7	6	6	6	6	6	7
16	ENSG00000001629	ANKIB1	6	6	6	6	17	20	19	16	19	20	17	31	22	7	11	12	10	12	12	14	19	8	10	9	11	7	9	11	5	8	9
17	ENSG00000001630	CYP51A1	6	6	13	13	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0	1	0	1	1	1
18	ENSG00000001631	KRIT1	6	6	6	2	8	10	8	9	11	12	8	10	10	4	5	4	5	6	6	4	6	2	4	4	3	4	4	5	4	3	2
21	ENSG00000002330	BAD	1	1	1	1	6	5	4	7	5	4	7	6	5	0	1	0	2	1	1	4	5	5	1	0	6	1	3	0	4	5	3
22	ENSG00000002549	LAP3	14	13	6	6	35	18	43	32	15	31	16	11	17	75	60	35	77	66	45	75	57	10	118	37	49	55	25	26	33	25	17
23	ENSG00000002586	CD99	NA	NA	NA	NA	26	27	18	30	34	16	19	32	10	34	50	47	27	35	38	51	63	57	21	22	25	18	22	21	28	23	21
27	ENSG00000002822	MAD1L1	2	2	2	2	7	7	10	6	6	12	7	5	11	6	6	6	6	8	7	6	8	14	4	4	4	3	5	3	4	4	5
28	ENSG00000002834	LASP1	31	30	31	68	118	129	86	90	100	89	103	134	89	35	44	46	35	45	52	49	55	13	42	44	43	46	52	54	56	51	54
29	ENSG00000002919	SNX11	2	2	2	6	8	7	8	10	8	9	6	6	5	12	8	9	14	14	12	7	6	5	8	8	7	9	8	8	9	6	7
31	ENSG00000003056	M6PR	14	13	31	30	27	22	27	27	29	26	18	18	19	36	28	29	37	37	42	29	30	11	42	45	45	40	52	58	33	33	34
37	ENSG00000003400	CASP10	1	1	1	1	6	11	7	4	6	5	1	5	1	5	6	4	7	6	4	6	4	2	4	3	3	5	3	3	4	3	3
38	ENSG00000003402	CFLAR	31	30	31	30	70	153	105	34	38	59	79	137	153	4	5	3	4	5	4	4	5	7	8	10	9	7	6	6	9	6	7
41	ENSG00000003756	RBM5	14	13	13	13	29	45	32	31	44	39	31	51	36	3	3	3	3	3	4	3	4	4	2	3	3	3	3	3	2	1	2
44	ENSG00000004059	ARF5	14	13	13	13	23	25	18	23	30	14	26	33	21	43	43	47	34	44	46	45	48	43	50	51	54	42	46	46	47	48	44
46	ENSG00000004142	POLDIP2	14	13	13	13	29	16	22	29	18	20	27	17	20	47	35	35	49	39	37	33	32	26	48	31	47	44	29	41	25	26	20
48	ENSG00000004455	AK2	31	13	13	13	48	32	56	52	36	61	38	23	42	50	53	39	45	43	34	42	32	16	61	53	45	64	41	38	60	59	44
49	ENSG00000004468	CD38	6	6	1	1	82	123	51	45	74	38	2	37	2	6	12	18	11	22	24	31	52	2	10	9	8	11	23	32	5	10	12
50	ENSG00000004478	FKBP4	14	13	13	13	45	14	54	37	16	40	50	13	54	41	26	23	38	23	16	22	16	5	48	24	39	50	20	25	24	24	23
51	ENSG00000004487	KDM1A	6	6	13	13	24	17	16	25	23	17	34	25	21	15	15	15	16	11	12	18	15	7	20	16	22	24	21	23	23	25	19
52	ENSG00000004534	RBM6	6	13	13	13	20	28	26	19	25	26	17	24	22	5	4	4	4	4	5	4	4	5	5	4	6	5	5	6	4	3	5
54	ENSG00000004700	RECQL	31	30	31	30	60	34	60	43	41	38	54	41	51	77	71	69	73	62	55	71	64	10	76	52	81	88	59	77	66	62	53
55	ENSG00000004766	VPS50	1	1	1	1	5	4	6	5	5	6	7	5	7	4	3	4	4	4	4	3	3	1	4	3	4	4	4	4	3	3	3
57	ENSG00000004777	ARHGAP33	14	30	13	13	9	12	4	12	19	7	10	12	5	1	1	1	1	1	2	2	1	1	1	2	1	0	2	0	1	2	4
58	ENSG00000004779	NDUFAB1	6	2	6	6	18	9	18	22	12	13	16	9	12	53	31	34	54	36	32	38	27	26	58	37	65	53	35	26	45	45	31
66	ENSG00000004897	CDC27	14	14	13	13	47	28	61	36	29	52	42	23	49	19	17	17	22	23	18	20	16	10	17	13	15	21	15	17	16	12	12
68	ENSG00000004961	HCCS	1	1	1	1	4	3	3	4	3	2	4	3	2	9	7	8	11	8	8	6	6	4	11	9	12	9	8	7	6	5	8
69	ENSG00000004975	DVL2	14	14	13	13	11	11	13	12	12	16	11	11	14	12	11	12	10	10	11	10	9	7	8	8	7	8	8	8	9	9	9
71	ENSG00000005007	UPF1	31	30	31	30	52	40	42	52	53	64	46	42	51	9	8	8	10	8	10	12	14	16	9	11	12	12	15	13	16	18	22
72	ENSG00000005020	SKAP2	1	1	1	1	3	3	3	4	5	3	6	4	4	3	4	4	4	5	5	4	4	1	4	3	5	7	6	8	3	5	3
73	ENSG00000005022	SLC25A5	70	69	69	68	162	86	145	173	123	103	112	70	72	542	308	336	542	367	308	283	212	156	367	226	226	441	212	264	367	264	264
74	ENSG00000005059	MCUB	2	2	2	2	22	33	17	15	26	9	23	29	15	43	50	73	37	53	79	47	71	92	41	40	39	34	36	39	41	43	22
76	ENSG00000005075	POLR2J	1	1	1	1	9	7	10	9	7	6	10	6	9	41	35	35	39	36	37	29	29	47	38	32	45	36	39	31	31	29	32
77	ENSG00000005100	DHX33	6	6	6	6	12	5	10	10	6	11	9	5	8	6	5	4	7	5	4	4	4	2	6	6	6	7	4	4	4	4	3
78	ENSG00000005102	MEOX1	0	0	0	0	2	0	2	3	2	3	0	0	0	7	11	12	6	7	4	5	6	1	4	3	3	3	1	0	1	1	0
80	ENSG00000005156	LIG3	2	2	2	2	11	7	12	9	10	14	8	7	12	5	4	4	6	4	4	3	3	2	5	4	4	6	3	4	3	3	3
81	ENSG00000005175	RPAP3	6	6	6	6	13	9	11	14	9	11	10	7	8	31	27	30	35	29	29	30	30	16	34	20	36	36	23	32	25	26	27
84	ENSG00000005194	CIAPIN1	2	2	2	2	12	8	9	12	9	9	12	9	9	17	11	13	17	13	14	11	11	14	14	9	16	13	10	13	8	8	5
85	ENSG00000005206	SPPL2B	6	6	6	6	13	20	9	16	23	12	20	36	14	2	2	2	2	3	4	3	4	5	2	2	2	2	3	3	2	2	2
86	ENSG00000005238	FAM214B	NA	NA	NA	NA	6	7	5	4	5	4	5	7	6	2	3	3	2	3	3	2	3	0	3	5	4	4	5	5	5	4	4
89	ENSG00000005302	MSL3	6	6	6	6	12	27	9	11	26	7	47	55	32	9	10	12	9	12	15	11	14	7	7	6	7	5	7	10	6	5	4
90	ENSG00000005339	CREBBP	14	14	13	13	23	25	11	17	28	23	22	30	19	2	3	4	2	4	5	7	10	25	2	3	3	2	5	6	3	3	7
91	ENSG00000005379	TSPOAP1	1	1	1	1	20	44	25	15	33	28	20	64	31	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
95	ENSG00000005448	WDR54	2	2	2	2	8	6	8	8	7	7	10	6	9	19	29	18	16	24	16	21	14	4	31	36	19	31	31	26	38	35	27
98	ENSG00000005483	KMT2E	14	14	13	13	47	73	22	24	52	35	36	59	32	11	18	23	11	18	23	35	43	72	12	17	12	19	28	31	19	24	22
99	ENSG00000005486	RHBDD2	2	6	6	6	5	6	3	9	11	4	7	5	4	12	14	12	11	12	12	11	16	68	14	23	18	11	19	16	12	12	23
101	ENSG00000005700	IBTK	14	6	6	6	26	22	36	23	32	33	18	19	23	8	7	7	8	8	9	8	10	7	8	9	9	10	8	8	8	8	7
102	ENSG00000005801	ZNF195	2	1	1	1	4	4	6	5	5	9	4	4	6	3	3	3	3	3	4	2	2	4	3	3	3	3	2	3	2	3	2
103	ENSG00000005810	MYCBP2	70	69	31	30	74	82	175	54	89	392	45	89	175	5	7	6	5	6	6	10	15	17	5	6	6	6	8	8	5	6	7
104	ENSG00000005812	FBXL3	6	6	6	6	8	9	10	8	10	9	11	12	12	21	23	34	24	34	39	22	29	102	28	32	31	25	32	39	28	29	33
105	ENSG00000005844	ITGAL	70	69	69	68	214	811	144	164	609	189	77	265	89	36	54	77	43	64	100	91	156	28	24	56	31	34	80	79	51	64	55
108	ENSG00000005889	ZFX	6	6	6	6	9	11	22	9	11	26	9	11	25	2	2	3	5	5	7	3	3	8	3	4	2	5	5	5	3	3	4
109	ENSG00000005893	LAMP2	6	14	6	6	21	34	14	16	21	11	37	44	23	21	28	35	19	29	36	29	32	13	32	36	40	27	35	35	33	37	38
112	ENSG00000006007	GDE1	1	1	6	2	8	7	6	11	9	6	11	11	7	4	5	7	4	5	7	6	8	7	8	10	12	7	9	9	12	12	18
113	ENSG00000006015	C19orf60	6	6	6	6	10	9	7	13	11	9	8	7	6	4	3	4	4	5	4	8	8	23	4	3	11	4	7	4	12	11	7
115	ENSG00000006025	OSBPL7	2	2	2	2	7	13	7	9	12	9	7	12	7	1	1	2	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1
118	ENSG00000006062	MAP3K14	6	6	13	13	17	18	12	12	13	12	18	20	14	4	6	6	3	5	6	8	10	8	3	5	4	4	6	6	5	5	8
122	ENSG00000006125	AP2B1	31	30	31	30	96	84	47	76	80	52	126	104	73	44	49	51	43	43	46	48	48	19	52	51	51	49	52	68	50	54	36
124	ENSG00000006194	ZNF263	6	6	6	6	7	8	7	8	9	8	7	8	9	4	4	4	3	3	4	3	3	11	3	4	4	3	4	4	3	3	4
126	ENSG00000006282	SPATA20	2	1	2	1	4	4	4	5	5	5	6	7	6	6	5	5	3	4	4	5	4	2	6	7	4	5	4	3	5	6	3
128	ENSG00000006327	TNFRSF12A	0	0	0	0	1	1	2	1	0	1	3	1	4	2	3	1	2	2	1	2	0	0	12	9	16	10	4	5	13	11	12
130	ENSG00000006432	MAP3K9	0	0	0	0	4	4	4	3	4	5	5	5	7	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2
131	ENSG00000006451	RALA	6	6	6	6	11	12	6	11	9	5	14	13	8	26	27	30	24	30	34	28	32	20	28	36	33	30	44	45	30	33	32
133	ENSG00000006459	KDM7A	14	6	13	13	5	9	7	2	9	5	5	19	11	3	5	6	2	4	6	7	10	19	2	3	1	2	3	4	4	3	4
135	ENSG00000006530	AGK	6	6	2	2	24	28	21	18	15	15	6	7	5	8	7	8	10	8	6	7	7	2	6	6	6	8	6	5	5	6	4
138	ENSG00000006576	PHTF2	1	2	2	2	9	9	8	11	12	11	6	5	5	4	4	3	4	4	4	4	4	2	5	6	5	5	4	3	8	8	9
140	ENSG00000006607	FARP2	0	0	0	1	6	4	9	5	4	10	8	5	13	2	2	1	2	1	1	1	0	1	2	1	2	2	1	1	2	1	1
142	ENSG00000006625	GGCT	6	6	6	6	10	6	9	13	8	7	8	4	5	37	40	21	37	31	24	28	21	10	31	46	27	35	41	18	43	40	34
143	ENSG00000006634	DBF4	6	6	6	6	24	12	25	24	13	16	17	8	14	27	22	18	26	24	16	22	18	34	22	19	18	20	17	14	21	23	29
145	ENSG00000006652	IFRD1	6	6	6	6	4	5	5	3	3	4	4	3	4	2	2	1	3	2	2	2	2	5	1	6	2	2	4	3	2	2	4
147	ENSG00000006695	COX10	1	1	1	1	4	3	2	4	2	2	4	3	2	5	6	6	6	6	6	6	6	4	4	5	5	4	4	3	6	5	4
149	ENSG00000006712	PAF1	6	6	6	6	17	15	21	15	14	14	18	12	19	25	27	28	25	29	27	28	25	38	26	27	28	26	27	32	25	25	31
150	ENSG00000006715	VPS41	6	6	6	2	9	8	11	11	10	12	9	10	10	4	5	5	4	5	6	4	4	1	5	3	4	5	4	6	3	4	2
152	ENSG00000006744	ELAC2	14	6	13	6	30	16	33	29	18	32	27	16	29	15	11	12	16	11	11	12	12	7	14	10	14	14	10	13	11	10	9
157	ENSG00000006831	ADIPOR2	6	6	13	13	20	19	11	20	21	10	21	22	11	21	19	25	21	23	24	19	25	8	14	11	18	13	15	21	12	12	15
160	ENSG00000007038	PRSS21	0	0	0	0	1	1	1	1	1	1	1	1	1	6	6	6	5	4	4	0	0	0	8	8	7	6	4	4	0	1	1
161	ENSG00000007047	MARK4	1	1	1	1	6	6	3	5	5	4	7	7	4	1	2	3	2	2	3	3	4	4	2	4	3	3	6	4	4	5	7
163	ENSG00000007080	CCDC124	6	6	6	6	17	10	8	21	12	9	16	10	8	12	9	8	17	12	12	20	18	21	14	8	32	17	17	8	22	23	21
164	ENSG00000007129	CEACAM21	0	0	0	0	2	4	1	1	2	1	1	2	0	7	7	7	7	9	10	5	8	11	5	8	6	7	8	9	4	4	4
165	ENSG00000007168	PAFAH1B1	31	30	13	30	33	33	35	35	35	35	36	38	36	13	12	14	13	12	15	12	12	17	12	11	14	13	12	15	10	9	12
168	ENSG00000007202	KIAA0100	31	30	31	30	45	31	64	43	42	88	40	35	68	21	16	16	22	17	16	16	18	14	18	12	18	17	13	15	11	12	12
171	ENSG00000007255	TRAPPC6A	1	1	1	1	3	6	2	4	6	2	3	5	3	27	34	30	27	37	38	38	45	51	23	30	48	27	41	31	33	44	31
172	ENSG00000007264	MATK	2	2	6	6	2	3	1	2	3	2	1	1	1	5	4	1	4	3	1	2	2	5	5	3	5	4	4	3	6	4	3
173	ENSG00000007312	CD79B	1	1	1	1	6	10	8	5	5	5	5	4	5	19	22	35	15	22	26	18	24	5	16	20	18	16	18	20	13	15	22
178	ENSG00000007376	RPUSD1	2	2	6	2	13	7	12	12	9	10	12	8	12	11	8	8	13	10	10	9	9	12	8	6	12	8	7	9	6	5	4
180	ENSG00000007392	LUC7L	2	2	2	2	11	11	12	14	12	13	12	11	12	3	1	2	4	2	2	2	0	2	3	1	3	2	1	2	1	1	2
183	ENSG00000007520	TSR3	6	6	6	6	15	11	14	17	11	12	14	9	11	28	23	17	33	25	25	28	28	31	26	23	33	23	22	18	24	21	15
184	ENSG00000007541	PIGQ	6	6	6	6	9	9	6	11	10	8	11	12	9	2	1	1	3	3	3	2	2	4	2	2	3	2	2	2	1	1	1
185	ENSG00000007545	CRAMP1	6	6	6	6	5	5	4	5	5	5	5	6	6	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2
188	ENSG00000007923	DNAJC11	6	6	6	6	10	5	11	10	7	12	9	5	12	7	5	4	7	5	4	4	3	2	8	4	6	7	4	4	4	3	1
191	ENSG00000007968	E2F2	6	6	6	6	44	21	59	15	19	28	10	13	14	7	8	7	8	8	5	10	6	0	8	11	8	10	9	8	10	11	11
192	ENSG00000008018	PSMB1	14	14	13	13	44	27	28	57	33	24	49	25	25	164	153	126	152	148	131	135	113	90	214	148	189	164	130	120	141	106	94
194	ENSG00000008083	JARID2	14	14	13	13	12	18	15	10	19	17	11	17	15	3	5	5	3	5	8	8	10	16	3	5	4	5	8	7	8	6	8
198	ENSG00000008130	NADK	6	6	6	6	23	20	18	21	17	16	18	18	15	9	6	7	12	8	9	7	7	5	9	5	10	8	4	6	4	4	3
202	ENSG00000008282	SYPL1	1	1	1	1	5	6	2	9	12	3	3	6	1	37	55	66	29	43	49	52	55	64	17	19	22	18	21	25	24	25	22
204	ENSG00000008294	SPAG9	6	6	6	6	13	17	23	10	12	20	18	17	33	4	5	5	4	4	4	6	6	2	4	5	4	5	5	5	9	8	10
205	ENSG00000008300	CELSR3	6	6	6	6	5	4	7	6	6	9	7	5	9	2	2	1	2	1	1	1	0	0	2	2	1	2	1	2	1	1	1
208	ENSG00000008324	SS18L2	1	1	1	1	9	8	7	10	9	5	9	8	5	35	36	42	29	29	33	26	31	38	28	29	26	24	27	25	27	25	26
209	ENSG00000008382	MPND	1	1	1	1	3	3	3	4	4	3	4	3	3	6	4	5	6	5	5	4	3	4	4	3	5	4	3	4	2	3	2
211	ENSG00000008405	CRY1	6	6	6	6	5	6	3	4	4	3	8	6	4	5	4	3	4	4	3	3	3	12	7	8	12	7	6	6	9	5	12
214	ENSG00000008513	ST3GAL1	14	14	13	13	36	52	51	36	58	64	13	24	21	14	19	20	12	17	23	19	27	36	9	19	10	10	17	16	15	19	23
215	ENSG00000008516	MMP25	1	1	1	1	8	10	7	6	5	6	5	3	4	4	6	5	6	6	4	2	1	0	0	1	0	1	1	1	0	0	0
216	ENSG00000008517	IL32	31	31	31	30	816	614	231	231	246	63	86	92	31	308	399	264	264	244	198	542	336	80	198	169	212	198	168	188	212	283	178
217	ENSG00000008710	PKD1	31	31	31	30	16	23	13	15	20	21	19	26	23	1	1	1	1	1	2	2	3	7	1	1	1	1	2	1	2	1	2
219	ENSG00000008838	MED24	14	14	13	13	25	19	18	27	21	21	26	21	21	11	8	9	10	8	9	9	9	5	10	7	11	10	9	10	9	9	7
221	ENSG00000008869	HEATR5B	6	6	6	6	9	8	10	6	12	11	6	10	8	2	3	3	2	2	4	2	4	8	2	3	2	3	3	4	2	2	2
222	ENSG00000008952	SEC62	14	14	13	13	23	20	18	22	18	16	47	33	28	23	23	36	24	30	41	24	32	52	30	38	36	30	47	45	31	31	38
223	ENSG00000008988	RPS20	182	173	179	179	175	208	224	262	280	147	162	196	127	443	496	443	368	489	545	443	544	615	401	489	615	401	627	548	496	548	545
224	ENSG00000009307	CSDE1	185	174	182	182	501	415	549	455	455	415	415	455	455	214	285	310	245	310	310	310	368	951	265	615	214	310	443	368	700	615	817
225	ENSG00000009335	UBE3C	14	14	13	13	29	19	28	30	21	34	29	22	34	13	9	9	13	10	9	8	10	14	14	9	14	12	7	10	9	8	7
226	ENSG00000009413	REV3L	6	6	6	6	10	10	21	10	13	43	8	13	29	1	1	2	1	1	2	2	2	4	1	1	1	1	2	2	1	1	1
232	ENSG00000009790	TRAF3IP3	14	14	13	13	61	126	66	64	115	72	36	82	36	25	29	35	26	31	34	34	41	22	26	28	30	27	34	41	28	31	23
234	ENSG00000009844	VTA1	6	6	6	6	16	11	12	16	12	8	19	12	11	19	20	17	19	18	18	15	12	8	17	16	17	18	16	15	16	16	14
236	ENSG00000009954	BAZ1B	31	31	31	30	69	36	75	58	49	102	55	41	93	18	17	16	18	16	14	23	20	10	19	17	19	21	20	24	15	16	19
237	ENSG00000010017	RANBP9	14	14	6	6	32	31	17	37	27	17	26	23	13	24	36	36	23	29	32	41	52	26	35	91	48	45	93	78	71	63	112
238	ENSG00000010030	ETV7	1	0	0	0	2	1	1	2	0	1	2	0	1	12	9	2	16	12	5	5	3	0	4	1	1	4	1	1	1	1	0
240	ENSG00000010165	METTL13	6	6	6	6	15	11	8	15	12	9	18	15	11	23	23	20	22	17	19	19	17	2	41	38	45	32	36	37	31	35	28
242	ENSG00000010244	ZNF207	31	31	31	30	113	105	105	151	162	168	106	120	120	9	6	6	9	7	5	5	4	12	8	4	9	7	5	5	6	8	8
243	ENSG00000010256	UQCRC1	14	14	13	13	33	19	40	54	27	44	36	18	37	45	43	37	50	40	33	43	32	13	52	46	50	50	44	39	61	55	49
244	ENSG00000010270	STARD3NL	0	0	1	1	6	4	3	6	4	3	6	4	3	7	6	6	8	6	5	5	5	4	10	8	9	7	6	5	8	8	7
245	ENSG00000010278	CD9	2	2	1	1	4	3	4	2	2	1	8	8	6	4	5	5	3	5	5	2	2	2	7	7	12	6	6	9	3	6	9
247	ENSG00000010292	NCAPD2	31	31	31	30	90	84	79	69	98	79	75	77	88	42	51	44	43	45	42	60	53	12	37	49	35	53	58	56	66	64	71
248	ENSG00000010295	IFFO1	2	6	2	2	8	13	7	9	12	8	8	12	7	2	2	3	2	2	4	2	3	2	1	2	3	2	3	3	2	2	3
252	ENSG00000010322	NISCH	14	14	13	13	22	30	18	21	32	24	25	38	29	3	3	4	3	3	4	3	4	11	3	3	4	3	3	4	4	4	4
256	ENSG00000010404	IDS	6	6	6	6	28	26	12	21	22	14	29	47	16	5	10	12	5	8	11	9	14	30	14	21	19	14	20	26	17	24	22
258	ENSG00000010539	ZNF200	1	1	1	1	4	5	5	4	4	4	5	4	5	2	2	3	2	2	3	2	2	2	2	2	2	1	2	2	1	1	1
259	ENSG00000010610	CD4	31	31	31	30	39	41	20	46	51	34	27	26	17	60	83	93	52	81	93	89	102	82	75	105	80	82	95	89	108	112	93
264	ENSG00000010810	FYN	31	31	69	68	24	32	22	29	40	27	18	39	17	21	29	34	18	28	38	43	57	34	21	35	29	29	56	65	38	33	36
265	ENSG00000010818	HIVEP2	14	14	6	6	16	32	21	5	14	12	36	54	75	3	6	7	4	6	10	9	15	26	4	6	4	6	9	8	6	8	8
266	ENSG00000011007	ELOA	6	6	6	6	18	10	23	14	10	18	14	10	17	12	7	8	10	9	9	9	8	16	10	8	8	9	8	8	9	6	10
267	ENSG00000011009	LYPLA2	6	6	6	6	25	18	20	25	25	20	25	19	23	80	62	61	71	65	59	47	38	12	68	43	57	59	41	66	31	30	29
269	ENSG00000011028	MRC2	2	2	2	2	3	1	2	7	4	8	15	7	18	1	1	1	1	1	1	1	1	0	1	1	1	2	2	1	2	2	2
274	ENSG00000011132	APBA3	2	2	2	2	11	16	8	8	11	6	10	14	9	4	4	3	4	3	4	4	6	2	3	2	4	3	3	3	3	3	3
