Genes	ID	B1_L	B10_L	B11_L	B12_L	B13_L	B14_L	B15_L	B16_L	B17_L	B18_L	CD4_1_L	CD4_10_L	CD4_11_L	CD4_12_L	CD4_13_L	CD4_14_L	CD4_15_L	CD4_16_L	CD4_17_L	CD4_18_L	CD8_1_L	CD8_10_L	CD8_11_L	CD8_12_L	CD8_13_L	CD8_14_L	CD8_15_L	CD8_16_L	CD8_17_L	CD8_18_L	Mo1_L	Mo10_L	Mo11_L	Mo12_L	Mo13_L	Mo14_L	Mo15_L	Mo16_L	Mo17_L	Mo18_L	Ne1_L	Ne10_L	Ne11_L	Ne12_L	Ne13_L	Ne14_L	Ne15_L	Ne16_L	Ne17_L	Ne18_L	Nk1_L	Nk10_L	Nk11_L	Nk12_L	Nk13_L	Nk14_L	Nk2_L	Nk3_L	Nk4_L	Nk5_L	B1_H	D1_H	D2_H	D3_H	D4_H	D5_H	D6_H	Mo1_H	Ne1_H	Nk1_H	M1_1_B	M1_2_B	M2_1_B	M2_2_B	CD4_1_Z	CD4_2_Z	CD8_1_Z	CD8_2_Z	CD8_3_Z	MQ1_Z	MQ2_Z	MQ3_Z	NK1_Z	B1_D	B2_D	B3_D	CD4_1_D	CD4_2_D	CD4_3_D	CD8_1_D	CD8_2_D	CD8_3_D	Mo1_D	Mo2_D	Mo3_D	Nk1_D	Nk2_D	Nk3_D	D1_P	D2_P	Mo1_P	Mo2_P	M1_1_X	M1_2_X	M2_1_X	M2_2_X	MQ1_X	MQ2_X
21	ENSG00000002587	HS3ST1	12	46	43	28	25	20	22	17	22	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	1	0	0	5	1	1	2	1	0	0	8	3	14	0	3	14	6	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	15	17	15	8
23	ENSG00000002745	WNT16	4	5	7	5	6	6	10	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	NA	NA	NA	NA	NA	NA
31	ENSG00000003147	ICA1	0	0	0	0	0	0	0	0	0	0	2	2	7	2	2	3	3	1	1	2	0	1	1	0	0	0	0	0	0	0	3	4	6	3	5	4	3	4	3	6	15	16	17	14	16	7	11	10	16	21	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	4	16	1	0	1	3	5	8	68	0	1	1	2	7	1	1	0	0	0	2	1	3	0	0	0	2	3	2	0	0	0	4	2	12	8	2	1	2	2	3	3
32	ENSG00000003249	DBNDD1	20	14	39	59	74	30	46	26	36	43	5	4	2	11	11	6	2	4	7	5	0	2	0	3	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	62	195	6	10	31	0	5	9	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
45	ENSG00000004468	CD38	14	15	18	15	23	9	6	7	13	8	4	7	4	2	3	3	2	3	4	2	2	3	9	1	7	1	1	3	3	2	7	20	10	6	25	6	5	6	6	3	9	2	8	9	16	8	9	10	5	8	58	54	62	64	176	28	79	70	72	100	26	8	14	8	4	8	14	14	24	102	113	66	18	9	1	18	48	231	12	65	1	21	115	9	114	31	2	4	7	1	2	10	2	5	5	47	48	44	11	14	9	12	2335	1951	42	15	13	65
55	ENSG00000004809	SLC22A16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	7	6	7	1	3	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	4	1	0	0	0	0	0	6	7	NA	NA	NA	NA	NA	NA
70	ENSG00000005102	MEOX1	0	0	0	0	0	0	0	0	0	0	4	6	10	3	6	4	4	4	3	3	1	1	2	1	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	1	0	0	0	0	0	0	0	0	9	5	1	3	4	2	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
79	ENSG00000005249	PRKAR2B	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	10	10	9	15	12	10	8	11	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	14	14	14	14	25	14	8	0	1	1	2	33	11	0	1	0	0	0	8	1	2	0	0	0	0	2	1	1	1	1	1	7	13	10	0	2	1	27	24	17	17	34	44	34	15	5	17
87	ENSG00000005471	ABCB4	49	52	34	48	50	67	45	46	53	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	2	4	2	2	4	4	0	0	0	1	1	1	1	0	0	0	0	0	2	0	0	1	33	28	44	0	0	0	0	0	0	0	0	0	1	1	0	8	10	0	0	0	0	8	3	7	0
144	ENSG00000007237	GAS7	15	46	24	31	28	13	6	9	16	10	7	14	2	6	4	1	7	4	3	2	47	166	25	32	25	13	62	31	12	16	350	585	530	445	272	358	337	358	286	432	172	559	513	121	60	144	61	129	102	148	208	88	125	127	150	117	189	201	123	268	3	94	92	93	90	92	93	461	80	102	14	38	25	31	1	0	44	46	7	88	70	45	36	10	363	12	0	7	2	27	26	24	716	716	716	114	201	218	352	282	589	767	NA	NA	NA	NA	NA	NA
146	ENSG00000007264	MATK	0	10	3	1	2	3	7	3	2	7	8	35	16	21	17	4	28	10	9	12	109	64	146	142	111	84	150	132	82	71	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	252	285	316	373	286	195	322	383	366	366	3	2	2	4	2	4	2	0	3	514	124	44	33	11	2	0	1	12	4	0	0	0	17	3	0	12	0	0	3	16	14	21	0	0	0	41	34	38	6	5	1	0	10	0	50	46	47	15
147	ENSG00000007312	CD79B	377	424	414	362	442	369	598	424	452	283	12	16	16	15	17	12	14	12	13	8	5	8	3	6	10	6	5	6	5	4	8	10	10	7	12	11	13	9	10	4	0	0	0	0	0	0	0	0	0	0	8	11	18	20	19	6	10	12	16	12	234	94	92	93	90	92	93	4	1	26	0	0	2	1	5	248	34	71	122	53	118	29	134	323	295	250	15	18	15	0	5	5	27	4	3	32	13	10	108	148	12	10	0	1	1	0	0	0
148	ENSG00000007314	SCN4A	8	2	6	8	7	10	5	7	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	77	0	0	1	0	1	0	0	0	0	0	1	2	0	1	1	0	0	NA	NA	NA	NA	NA	NA
150	ENSG00000007350	TKTL1	0	0	0	0	0	0	0	0	0	0	2	3	2	6	5	2	4	4	4	2	4	1	1	16	19	1	2	3	1	2	0	1	1	0	0	0	0	0	0	0	0	4	8	2	2	2	2	0	0	0	42	55	39	43	33	24	64	35	32	34	0	0	1	0	1	0	1	0	3	13	0	0	0	0	20	0	1	0	21	0	0	0	157	0	1	23	15	30	7	12	26	18	0	0	2	169	168	78	1	1	4	0	NA	NA	NA	NA	NA	NA
183	ENSG00000008438	PGLYRP1	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	98	100	119	69	53	82	95	95	102	96	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
187	ENSG00000008517	IL32	0	0	0	0	0	0	0	0	1	0	375	277	493	359	367	359	419	299	295	246	296	138	458	358	395	345	346	277	225	201	0	0	0	0	0	0	1	0	0	0	24	12	20	28	20	29	23	24	26	23	152	68	64	88	177	114	205	50	155	230	0	0	0	0	0	0	0	0	37	52	25	16	13	2	384	1640	483	869	815	6	12	2	412	0	0	0	152	92	194	150	106	240	0	0	0	48	31	80	0	1	0	0	126	174	34	13	13	34
