Genes	ID	Th1_1_K	Th1_2_K	Th2_1_K	Th2_2_K	Th1_1_S	Th1_2_S	Th1_3_S	Th2_1_S	Th2_2_S	Th2_3_S	Th17_1_S	Th17_2_S	Th17_3_S	Th0_3_R	Th0_4_R	Th0_5_R	Th0_8_R	Th0_9_R	Th0_10_R	Th0_13_R	Th0_14_R	Th0_15_R	iTreg3_R	iTreg4_R	iTreg5_R	iTreg8_R	iTreg9_R	iTreg10_R	iTreg13_R	iTreg14_R	iTreg15_R
489	ENSG00000033327	GAB2	6	2	14	13	1	1	1	12	14	15	2	4	3	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	2
659	ENSG00000050405	LIMA1	2	2	70	69	13	6	14	97	60	152	21	16	21	15	13	13	11	10	10	14	12	2	14	14	14	11	11	12	11	10	8
791	ENSG00000060566	CREB3L3	0	0	1	1	0	0	0	2	1	1	2	2	1	0	0	1	0	0	0	1	1	0	2	8	7	6	17	16	10	18	25
975	ENSG00000067208	EVI5	0	0	2	2	1	0	1	2	1	2	1	1	1	0	1	0	0	0	0	1	0	0	20	35	19	20	13	6	50	29	36
1186	ENSG00000073331	ALPK1	6	6	0	0	5	26	7	1	1	1	2	4	2	2	3	2	2	3	2	3	3	0	2	1	1	2	2	2	1	1	1
1204	ENSG00000073861	TBX21	33	32	1	1	25	22	29	7	3	7	2	1	2	11	9	4	11	7	4	8	8	2	8	4	4	13	4	3	10	4	6
1261	ENSG00000075340	ADD2	1	1	1	1	3	1	2	1	0	2	35	9	50	3	3	1	4	2	1	3	1	1	4	5	4	6	4	3	5	4	4
1498	ENSG00000081985	IL12RB2	74	72	2	2	50	46	44	9	2	12	17	8	20	17	22	10	16	12	10	26	22	0	8	5	4	5	2	2	2	2	2
1931	ENSG00000093072	ADA2	1	2	2	2	4	10	2	3	12	2	1	9	0	12	19	47	14	28	55	24	47	26	3	2	1	2	2	4	1	0	0
2636	ENSG00000102962	CCL22	0	0	3	3	5	2	4	29	5	25	2	2	1	0	1	2	1	1	2	1	2	0	14	16	4	22	17	14	15	11	12
2762	ENSG00000103942	HOMER2	0	0	7	7	1	1	1	15	17	23	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3274	ENSG00000107130	NCS1	0	0	3	3	3	0	3	3	1	3	26	3	34	1	1	0	1	0	0	1	1	0	9	12	14	9	7	7	11	12	14
3764	ENSG00000111537	IFNG	1	0	0	0	743	124	332	5	1	3	2	1	1	10	5	2	6	7	2	14	8	0	2	1	2	4	0	1	3	2	2
4299	ENSG00000115607	IL18RAP	3	3	0	0	12	34	11	3	1	2	3	3	2	4	6	2	3	4	1	3	2	0	5	7	6	7	5	4	1	1	1
4639	ENSG00000118515	SGK1	8	8	8	8	9	10	11	1	1	1	11	2	13	2	1	1	3	2	3	0	0	2	1	1	1	1	0	0	1	0	1
5262	ENSG00000124225	PMEPA1	0	0	0	0	0	0	0	0	0	0	7	6	8	0	1	1	1	1	1	1	1	12	7	16	13	8	14	15	12	12	14
5767	ENSG00000128578	STRIP2	41	40	3	1	9	6	9	6	3	6	91	66	149	3	3	1	1	1	1	1	1	0	18	19	13	12	6	5	15	12	8
6088	ENSG00000131016	AKAP12	3	1	93	93	0	0	1	5	3	10	2	0	3	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
6144	ENSG00000131400	NAPSA	0	0	0	0	3	2	3	1	1	1	10	2	10	0	0	0	1	0	1	1	0	0	64	48	43	63	43	35	55	45	31
6284	ENSG00000132465	JCHAIN	0	0	0	0	1	1	1	2	2	1	10	208	5	1	0	0	1	0	1	1	1	29	1	0	0	0	0	0	0	0	0
6666	ENSG00000135047	CTSL	0	0	0	0	1	0	1	2	1	1	24	108	23	3	1	2	8	4	5	2	2	11	57	76	134	83	152	225	26	45	30
7067	ENSG00000137166	FOXP4	20	19	3	3	9	8	3	3	2	1	5	2	2	2	2	1	1	1	1	2	2	1	3	4	3	3	3	1	5	3	6
7110	ENSG00000137441	FGFBP2	0	0	0	0	2	5	1	1	1	0	0	2	0	6	19	60	6	41	77	50	91	10	0	1	1	0	9	16	1	3	1
7205	ENSG00000137942	FNBP1L	0	0	0	0	1	0	0	1	1	1	5	2	6	0	1	1	0	0	1	1	1	0	8	5	5	3	2	2	5	3	4
7432	ENSG00000139318	DUSP6	4	1	20	19	4	2	4	35	20	40	5	2	6	6	6	2	3	3	5	2	1	1	4	8	6	5	3	1	6	5	2
7538	ENSG00000140092	FBLN5	0	0	0	0	1	1	0	3	1	2	3	2	2	2	5	5	2	4	5	4	5	1	1	1	1	1	1	2	1	1	1
7758	ENSG00000141576	RNF157	21	9	9	9	27	57	18	7	5	6	2	1	1	9	11	5	10	9	6	10	11	15	2	2	2	3	2	2	2	2	1
7777	ENSG00000141738	GRB7	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	1	2	1	1	1	0	6	8	6	6	6	7	5	5	5
7927	ENSG00000143153	ATP1B1	0	0	0	0	2	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	12	33	16	12	18	16	35	29	35
9003	ENSG00000151948	GLT1D1	0	0	0	0	1	1	0	1	0	0	3	3	2	0	0	1	0	0	1	0	1	0	6	9	8	5	8	9	7	10	12
9285	ENSG00000154589	LY96	0	0	0	0	0	1	0	0	0	0	2	1	2	29	41	30	19	30	28	22	26	12	14	15	8	12	11	9	11	8	9
9381	ENSG00000155629	PIK3AP1	0	0	1	1	7	6	10	2	2	2	21	8	40	1	2	1	1	2	2	2	2	1	1	0	1	1	1	1	0	1	0
10415	ENSG00000163359	COL6A3	11	0	1	0	3	0	2	1	1	1	95	45	169	0	0	0	0	0	0	0	0	0	4	2	5	1	1	1	2	1	0
10416	ENSG00000163362	INAVA	0	0	0	0	0	0	0	1	0	1	11	27	10	0	0	0	0	0	0	0	0	0	5	7	11	4	7	6	5	7	6
10441	ENSG00000163463	KRTCAP2	11	4	4	4	5	6	3	6	6	3	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
11204	ENSG00000166333	ILK	11	11	11	11	6	6	5	5	6	5	4	5	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
11855	ENSG00000169194	IL13	0	0	4	4	1	0	0	7	1	8	0	0	0	11	10	3	6	5	1	3	1	0	2	1	1	1	0	0	1	1	0
11916	ENSG00000169508	GPR183	0	0	54	53	3	2	3	28	12	16	55	5	33	34	37	74	39	91	124	73	84	443	77	36	96	164	112	136	81	89	64
12279	ENSG00000171408	PDE7B	0	0	11	11	0	1	0	1	5	2	0	0	0	0	1	4	1	2	6	2	6	0	0	0	0	0	1	1	0	0	0
12700	ENSG00000173585	CCR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	6	9	8	33	55	4	6	9
13177	ENSG00000176595	KBTBD11	12	5	5	5	7	7	9	1	0	1	28	11	47	3	2	2	4	3	3	2	2	8	2	2	2	3	2	3	1	1	0
13770	ENSG00000180549	FUT7	12	12	0	0	8	8	8	3	1	2	45	13	36	11	13	9	7	9	5	12	7	1	0	0	0	0	0	0	0	0	0
13796	ENSG00000180758	GPR157	0	0	0	0	2	1	2	2	2	2	16	29	23	0	1	1	1	1	1	1	2	1	6	9	8	9	13	18	7	9	10
