Genes	Transcript_Length	GC_Content
10737	ENSG00000000003	3796	40.4
14559	ENSG00000000419	1161	39.85
3335	ENSG00000000457	6364	40.14
5526	ENSG00000000460	4355	39.22
7107	ENSG00000000938	2729	52.97
6496	ENSG00000000971	6985	35.2
13061	ENSG00000001036	2356	39.69
7379	ENSG00000001084	3813	40.16
7461	ENSG00000001167	3811	40
9056	ENSG00000001460	6016	44.09
7949	ENSG00000001461	5481	45
13244	ENSG00000001497	5205	50.45
9807	ENSG00000001561	4651	36.06
5995	ENSG00000001629	6081	36.77
2655	ENSG00000001630	3210	39.91
11709	ENSG00000001631	4762	36.48
16589	ENSG00000002016	2826	45.17
12444	ENSG00000002330	1157	53.92
16345	ENSG00000002549	2213	44.17
17607	ENSG00000002586	1291	47.41
16987	ENSG00000002587	8031	43.92
8033	ENSG00000002726	3135	47.8
6284	ENSG00000002745	3147	38.61
3161	ENSG00000002822	2991	55.65
12887	ENSG00000002834	4109	53.69
9523	ENSG00000002919	2733	48
10917	ENSG00000002933	2065	57.57
1591	ENSG00000003056	2756	42.71
12754	ENSG00000003096	5331	36.56
16152	ENSG00000003137	4732	59.96
11067	ENSG00000003147	2458	40.3
16491	ENSG00000003249	2889	59.39
10006	ENSG00000003393	6644	38.06
688	ENSG00000003400	5928	42.31
1323	ENSG00000003402	14672	44.35
8084	ENSG00000003436	7690	36.6
16722	ENSG00000003509	2974	38.97
2795	ENSG00000003756	5616	44.45
5779	ENSG00000003987	3850	40.36
6633	ENSG00000004059	1509	56.5
11380	ENSG00000004139	10309	51.55
14362	ENSG00000004142	2121	50.16
10893	ENSG00000004399	7094	58.39
1016	ENSG00000004455	3586	46.32
13994	ENSG00000004468	5668	41.09
10129	ENSG00000004478	3732	51.56
537	ENSG00000004487	3059	39.17
2849	ENSG00000004534	4324	44.14
9606	ENSG00000004660	3898	57.17
13255	ENSG00000004700	3702	37.57
14415	ENSG00000004766	5736	34.83
13934	ENSG00000004777	4219	60.93
12481	ENSG00000004779	885	48.8
16348	ENSG00000004799	3576	36.07
11545	ENSG00000004809	2033	41.33
14944	ENSG00000004838	2896	57.81
9919	ENSG00000004864	3192	39.76
1912	ENSG00000004866	2899	39.15
17532	ENSG00000004897	5801	38.66
11215	ENSG00000004939	4958	55.8
13930	ENSG00000004961	2277	42.99
3323	ENSG00000004975	3018	55.14
2838	ENSG00000005001	1386	59.35
15728	ENSG00000005007	5348	55.16
276	ENSG00000005020	3998	36.94
8518	ENSG00000005022	1274	53.25
4138	ENSG00000005059	2278	41.01
1936	ENSG00000005075	932	55.04
6244	ENSG00000005100	5618	45.81
13631	ENSG00000005102	2707	51.61
