Genes	Transcript_Length	GC_Content
15641	ENSG00000000003	3796	40.4
20898	ENSG00000000419	1161	39.85
4945	ENSG00000000457	6364	40.14
8367	ENSG00000000460	4355	39.22
10587	ENSG00000000938	2729	52.97
9735	ENSG00000000971	6985	35.2
18798	ENSG00000001036	2356	39.69
10958	ENSG00000001084	3813	40.16
11076	ENSG00000001167	3811	40
13288	ENSG00000001460	6016	44.09
11746	ENSG00000001461	5481	45
19062	ENSG00000001497	5205	50.45
14312	ENSG00000001561	4651	36.06
3045	ENSG00000001617	3802	57.74
9505	ENSG00000001626	6132	36.59
9042	ENSG00000001629	6081	36.77
3885	ENSG00000001630	3210	39.91
16972	ENSG00000001631	4762	36.48
23743	ENSG00000002016	2826	45.17
11070	ENSG00000002079	5836	49.89
17979	ENSG00000002330	1157	53.92
23389	ENSG00000002549	2213	44.17
25115	ENSG00000002586	1291	47.41
24293	ENSG00000002587	8031	43.92
9445	ENSG00000002745	3147	38.61
14061	ENSG00000002746	9501	42.03
4637	ENSG00000002822	2991	55.65
18560	ENSG00000002834	4109	53.69
13911	ENSG00000002919	2733	48
15885	ENSG00000002933	2065	57.57
2364	ENSG00000003056	2756	42.71
18379	ENSG00000003096	5331	36.56
23126	ENSG00000003137	4732	59.96
16085	ENSG00000003147	2458	40.3
23592	ENSG00000003249	2889	59.39
14588	ENSG00000003393	6644	38.06
1023	ENSG00000003400	5928	42.31
1968	ENSG00000003402	14672	44.35
11920	ENSG00000003436	7690	36.6
23923	ENSG00000003509	2974	38.97
4105	ENSG00000003756	5616	44.45
8739	ENSG00000003987	3850	40.36
7500	ENSG00000003989	7638	40.13
9913	ENSG00000004059	1509	56.5
16529	ENSG00000004139	10309	51.55
20629	ENSG00000004142	2121	50.16
15856	ENSG00000004399	7094	58.39
1521	ENSG00000004455	3586	46.32
20137	ENSG00000004468	5668	41.09
14761	ENSG00000004478	3732	51.56
825	ENSG00000004487	3059	39.17
4183	ENSG00000004534	4324	44.14
14026	ENSG00000004660	3898	57.17
19081	ENSG00000004700	3702	37.57
20700	ENSG00000004766	5736	34.83
19505	ENSG00000004776	1457	62.55
20047	ENSG00000004777	4219	60.93
18029	ENSG00000004779	885	48.8
23397	ENSG00000004799	3576	36.07
16756	ENSG00000004809	2033	41.33
21424	ENSG00000004838	2896	57.81
15440	ENSG00000004846	5811	37.73
21725	ENSG00000004848	2876	54.62
14467	ENSG00000004864	3192	39.76
2838	ENSG00000004866	2899	39.15
25009	ENSG00000004897	5801	38.66
16295	ENSG00000004939	4958	55.8
20043	ENSG00000004961	2277	42.99
4923	ENSG00000004975	3018	55.14
4167	ENSG00000005001	1386	59.35
22547	ENSG00000005007	5348	55.16
459	ENSG00000005020	3998	36.94
12526	ENSG00000005022	1274	53.25
6260	ENSG00000005059	2278	41.01
19394	ENSG00000005073	2295	55.22
2871	ENSG00000005075	932	55.04
9392	ENSG00000005100	5618	45.81
19615	ENSG00000005102	2707	51.61
1450	ENSG00000005108	10663	35.51
22195	ENSG00000005156	8400	47.23
493	ENSG00000005175	4370	36.57
18932	ENSG00000005187	3311	41.08
19048	ENSG00000005189	2722	39.89
9749	ENSG00000005194	2182	44.41
11048	ENSG00000005206	3456	61.06
4889	ENSG00000005238	5771	54.68
16460	ENSG00000005243	895	52.71
15011	ENSG00000005249	3745	38.63
23778	ENSG00000005302	3446	42.85
12432	ENSG00000005339	10803	45.01
16518	ENSG00000005379	7483	57.84
15015	ENSG00000005381	3215	55.13
25397	ENSG00000005421	2568	40.5
6428	ENSG00000005436	4440	36.39
13975	ENSG00000005448	2356	54.68
19198	ENSG00000005469	3175	37.43
20163	ENSG00000005471	4020	38.6
1167	ENSG00000005483	6874	37.46
12075	ENSG00000005486	1878	47.79
21565	ENSG00000005513	4153	64.81
10278	ENSG00000005700	6054	36.07
17235	ENSG00000005801	3342	41.43
12617	ENSG00000005810	14736	35.72
12609	ENSG00000005812	3503	38.36
18359	ENSG00000005844	5213	50.46
6997	ENSG00000005882	3440	56.67
14043	ENSG00000005884	5479	52.64
21978	ENSG00000005889	7558	40.77
16882	ENSG00000005893	4030	38.79
6910	ENSG00000005961	3333	54.83
18028	ENSG00000005981	3825	38.27
14090	ENSG00000006007	2958	40.17
21818	ENSG00000006015	2465	60.24
13240	ENSG00000006016	1792	55.32
5642	ENSG00000006025	4497	57.86
18515	ENSG00000006042	4434	48.47
2831	ENSG00000006047	4553	57.92
24461	ENSG00000006062	4583	49.97
4631	ENSG00000006071	6565	50.02
19667	ENSG00000006116	3088	44.54
25157	ENSG00000006118	3981	58.71
12576	ENSG00000006125	5702	39.93
11997	ENSG00000006128	1239	39.8
18488	ENSG00000006194	3830	47.09
11593	ENSG00000006210	5796	53.7
4391	ENSG00000006282	3539	57.05
22466	ENSG00000006283	8138	56.83
6593	ENSG00000006327	1678	60.12
10275	ENSG00000006377	2304	49.51
22327	ENSG00000006432	11169	44.98
12545	ENSG00000006451	2880	39.69
20044	ENSG00000006453	3622	46.77
6588	ENSG00000006459	9272	39.18
8349	ENSG00000006468	6740	36.3
9732	ENSG00000006530	3849	39.59
4735	ENSG00000006534	5884	58.4
1136	ENSG00000006555	3345	52.26
25488	ENSG00000006576	5198	37.65
25660	ENSG00000006606	703	48.09
621	ENSG00000006607	6065	45.6
7434	ENSG00000006611	2700	51.78
7230	ENSG00000006625	1173	40.55
14990	ENSG00000006634	3907	36.72
24902	ENSG00000006638	2608	55.77
10659	ENSG00000006652	3397	39.45
15479	ENSG00000006659	774	45.3
15277	ENSG00000006695	2873	38.47
7893	ENSG00000006704	5868	52.72
6071	ENSG00000006712	2066	52.73
25741	ENSG00000006715	5903	38.35
18341	ENSG00000006740	4428	42.68
17688	ENSG00000006744	3738	48.08
8616	ENSG00000006747	9713	38.46
21500	ENSG00000006756	5159	48.88
21864	ENSG00000006757	3372	40.45
8795	ENSG00000006788	6067	45.88
24082	ENSG00000006831	4018	39.4
19584	ENSG00000006837	2160	40.16
2278	ENSG00000007001	2435	40.24
10478	ENSG00000007038	1106	55.65
13494	ENSG00000007047	5209	53.57
20373	ENSG00000007062	4349	43.17
10488	ENSG00000007080	1055	55.84
23344	ENSG00000007129	1691	44.66
14038	ENSG00000007168	5497	42.4
21355	ENSG00000007171	4176	51.36
24606	ENSG00000007174	13750	42.63
21611	ENSG00000007202	7407	46.75
17323	ENSG00000007216	2855	52.55
2741	ENSG00000007237	8033	47.97
7583	ENSG00000007255	805	56.86
18987	ENSG00000007264	2133	54.4
21413	ENSG00000007312	1269	60.69
25844	ENSG00000007314	7805	56.1
3256	ENSG00000007341	4528	39.05
17132	ENSG00000007350	2642	48.34
21935	ENSG00000007372	7290	49.72
16560	ENSG00000007376	2159	67.17
23497	ENSG00000007384	2992	61.15
19369	ENSG00000007392	2737	47.33
25562	ENSG00000007402	5476	56.52
21356	ENSG00000007516	4732	65.72
16358	ENSG00000007520	1243	62.57
20994	ENSG00000007541	3006	64.36
19900	ENSG00000007545	7772	53.11
20426	ENSG00000007866	2983	56.75
6361	ENSG00000007908	3857	39.37
17912	ENSG00000007923	3311	46.6
14361	ENSG00000007944	2796	40.19
4605	ENSG00000007952	2529	41.14
4348	ENSG00000007968	5191	51.66
